"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
729,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",0,"SV",4,"Nei, aldri",2,0,1,1,2,"Gemini",NA
730,"Mann","65+","Trøndelag","Grunnskole/videregående",4,"MDG",4,"Nei, aldri",0,0,NA,3,2,"Grok",1
731,"Mann","65+","Agder og Rogaland","Grunnskole/videregående",3,"Arbeiderpartiet",3,"Nei, aldri",1,1,2,2,3,"Forsker",2
732,"Kvinne","25-34","Vestlandet","Grunnskole/videregående",4,"MDG",4,"Ja, noen ganger",3,1,NA,4,5,"ChatGPT",2
733,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",2,"Nei, aldri",4,1,NA,4,3,"Grok",2
734,"Mann","55-64","Trøndelag","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",3,"Nei, aldri",2,1,4,4,3,"heiVG",NA
735,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",4,"Nei, aldri",1,0,3,3,2,"heiVG",3
736,"Mann","55-64","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",0,0,2,3,2,"Forsker",3
737,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",NA,NA,4,"Nei, aldri",3,1,5,5,4,"heiVG",3
738,"Mann","65+","Oslo og Akershus","Grunnskole/videregående",4,"Annet parti",2,"Ja, men sjelden",5,1,4,4,2,"heiVG",2
739,"Kvinne","65+","Vestlandet","Grunnskole/videregående",5,"Arbeiderpartiet",3,"Nei, aldri",0,0,2,2,2,"Gemini",2
740,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",5,NA,3,"Ja, noen ganger",0,0,2,2,3,"heiVG",1
741,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",1,"Rødt",4,"Ja, men sjelden",1,0,2,2,2,"Gemini",2
742,"Mann","45-54","Vestlandet","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",3,"Nei, aldri",4,0,1,1,1,"heiVG",1
743,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",0,"Rødt",3,"Ja, men sjelden",3,1,1,2,2,"Gemini",2
744,"Mann","45-54","Nord-Norge","Grunnskole/videregående",7,"Høyre",3,"Nei, aldri",0,0,4,4,3,"Gemini",3
745,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",2,NA,3,"Nei, aldri",3,0,NA,4,4,"heiVG",2
746,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",2,"Ja, men sjelden",4,1,3,3,3,"ChatGPT",2
747,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Senterpartiet",3,"Ja, men sjelden",3,0,3,1,3,"ChatGPT",3
748,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Høyre",3,"Ja, men sjelden",2,1,4,4,3,"Gemini",2
749,"Mann","65+","Trøndelag","Grunnskole/videregående",3,"SV",3,"Ja, noen ganger",2,1,3,1,4,"ChatGPT",1
750,"Mann","65+","Nord-Norge","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, men sjelden",4,1,2,3,4,"Gemini",3
751,"Kvinne","65+","Nord-Norge","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Nei, aldri",2,1,4,2,3,"Forsker",NA
752,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",3,"Ja, men sjelden",1,0,2,2,3,"ChatGPT",2
753,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",8,"Høyre",4,"Ja, noen ganger",2,1,3,1,3,"heiVG",1
754,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Høyre",4,"Nei, aldri",0,0,2,3,5,"heiVG",3
755,"Mann","45-54","Oslo og Akershus","Grunnskole/videregående",10,"Annet parti",1,"Ja, men sjelden",0,0,1,3,1,"Grok",2
756,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, noen ganger",4,1,4,5,4,"heiVG",2
757,"Kvinne","55-64","Trøndelag","Universitet/høyskole 1-4 år",5,NA,4,"Ja, men sjelden",3,1,2,2,3,"Gemini",2
758,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",4,NA,4,"Ja, men sjelden",3,1,4,3,3,"Grok",2
759,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",1,"SV",4,"Nei, aldri",1,1,2,1,3,"heiVG",2
760,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",10,"Fremskrittspartiet",2,"Ja, noen ganger",2,0,3,2,2,"heiVG",2
761,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",3,"Nei, aldri",5,1,4,4,3,"Grok",2
762,"Mann","25-34","Nord-Norge","Universitet/høyskole 1-4 år",4,"Senterpartiet",4,"Nei, aldri",3,1,4,4,4,"Forsker",3
763,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",3,"MDG",4,"Nei, aldri",4,1,3,4,4,"ChatGPT",2
764,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"MDG",4,"Nei, aldri",3,1,4,2,5,"heiVG",3
765,"Kvinne","65+","Oslo og Akershus","Grunnskole/videregående",4,"Fremskrittspartiet",3,NA,1,0,3,3,2,"Gemini",2
766,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",7,"Høyre",4,"Nei, aldri",2,1,4,4,3,"Forsker",NA
767,"Kvinne","55-64","Trøndelag","Universitet/høyskole 5+ år",3,"Senterpartiet",3,"Ja, noen ganger",2,1,2,1,2,"Grok",1
768,"Kvinne","55-64","Trøndelag","Universitet/høyskole 5+ år",10,"Høyre",2,"Ja, noen ganger",4,1,4,4,4,"Forsker",3
769,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",NA,NA,2,"Ja, store deler av tiden",5,0,4,1,1,"Gemini",1
770,"Mann","18-24","Nord-Norge","Grunnskole/videregående",2,"SV",3,"Ja, men sjelden",2,1,3,2,3,"Gemini",1
771,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",4,NA,4,"Ja, noen ganger",1,0,2,2,4,"Gemini",2
772,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, noen ganger",4,0,1,2,2,"heiVG",1
773,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",3,"Arbeiderpartiet",2,"Ja, men sjelden",2,1,3,1,2,"ChatGPT",2
774,"Mann","55-64","Vestlandet","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, noen ganger",2,1,4,4,3,"Grok",NA
775,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",0,"Rødt",2,"Ja, noen ganger",0,0,1,1,1,"heiVG",NA
776,"Kvinne","65+","Nord-Norge","Grunnskole/videregående",NA,"Høyre",4,"Nei, aldri",0,0,3,2,1,"Forsker",2
777,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Nei, aldri",1,0,3,1,4,"heiVG",1
778,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,"Fremskrittspartiet",3,"Nei, aldri",4,0,NA,5,2,"Gemini",2
779,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Ja, men sjelden",3,1,3,4,4,"ChatGPT",NA
780,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Ja, store deler av tiden",3,1,4,1,3,"heiVG",3
781,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",1,"SV",4,"Ja, noen ganger",3,1,NA,4,3,"Grok",2
782,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",3,"Ja, noen ganger",2,1,4,5,3,"Gemini",3
783,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",3,"Arbeiderpartiet",4,"Nei, aldri",0,0,3,3,2,"ChatGPT",2
784,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Ja, noen ganger",0,0,4,1,5,"heiVG",1
785,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",1,"SV",4,"Ja, noen ganger",3,1,2,2,5,"heiVG",NA
786,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",5,"MDG",4,"Ja, men sjelden",2,0,3,4,3,"heiVG",2
787,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",3,"SV",3,"Ja, men sjelden",3,1,2,3,3,"Gemini",3
788,"Kvinne","55-64","Vestlandet","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",3,"Ja, noen ganger",5,1,2,4,3,"ChatGPT",1
789,"Mann","45-54","Nord-Norge","Grunnskole/videregående",5,"Fremskrittspartiet",2,"Nei, aldri",0,0,2,5,2,"heiVG",1
790,"Mann","65+","Sør-Østlandet","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",3,"Nei, aldri",4,1,4,3,3,"heiVG",2
791,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",3,NA,4,"Nei, aldri",2,1,2,4,4,"heiVG",2
792,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",10,"Fremskrittspartiet",3,"Nei, aldri",2,1,4,3,NA,"Gemini",NA
793,"Kvinne","35-44","Trøndelag","Universitet/høyskole 1-4 år",2,"Rødt",3,"Nei, aldri",2,0,2,1,1,"Gemini",1
794,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",1,"Nei, aldri",3,1,4,5,2,"ChatGPT",2
795,"Mann","55-64","Trøndelag","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",5,1,2,4,3,"ChatGPT",3
796,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"Rødt",3,"Ja, noen ganger",0,0,2,2,3,"Gemini",2
797,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, noen ganger",0,0,NA,2,NA,"Grok",1
798,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 5+ år",NA,NA,3,"Ja, men sjelden",0,0,3,2,3,"Forsker",NA
799,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Nei, aldri",4,0,3,2,3,"Forsker",4
800,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",2,"Ja, store deler av tiden",0,0,1,1,1,"heiVG",1
801,"Mann","55-64","Trøndelag","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",1,"Ja, noen ganger",3,1,4,4,3,"ChatGPT",2
802,"Kvinne","18-24","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",3,"Nei, aldri",3,1,4,3,4,"heiVG",2
803,"Mann","18-24","Nord-Norge","Universitet/høyskole 5+ år",5,"Annet parti",2,"Ja, men sjelden",4,1,3,4,4,"heiVG",2
804,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Nei, aldri",0,0,NA,NA,3,"Grok",2
805,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Ja, men sjelden",1,0,NA,NA,2,"Forsker",2
806,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Rødt",4,"Ja, noen ganger",3,1,4,2,4,"Forsker",3
807,"Kvinne","35-44","Oslo og Akershus","Grunnskole/videregående",NA,"Senterpartiet",3,"Nei, aldri",3,1,4,4,NA,"Grok",3
808,"Mann","65+","Trøndelag","Universitet/høyskole 1-4 år",0,"Rødt",3,"Ja, noen ganger",3,1,3,3,2,"heiVG",1
809,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Senterpartiet",4,"Nei, aldri",4,0,4,1,4,"Forsker",1
810,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",4,NA,3,"Ja, noen ganger",2,0,NA,4,NA,"heiVG",NA
811,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",5,"Arbeiderpartiet",4,"Nei, aldri",2,1,3,3,4,"Grok",2
812,"Mann","65+","Sør-Østlandet","Universitet/høyskole 5+ år",3,NA,4,"Ja, noen ganger",1,0,5,4,NA,"Grok",1
813,"Mann","65+","Trøndelag","Grunnskole/videregående",7,"Høyre",4,"Nei, aldri",0,0,3,3,3,"heiVG",2
814,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Høyre",3,"Nei, aldri",4,0,2,3,NA,"Gemini",NA
815,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Ja, men sjelden",2,1,2,3,5,"heiVG",2
816,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Ja, store deler av tiden",5,1,3,4,3,"Gemini",NA
817,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Nei, aldri",2,0,2,1,4,"Gemini",NA
818,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Ja, noen ganger",1,0,2,2,2,"Gemini",2
819,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"SV",4,"Ja, noen ganger",0,0,2,2,3,"Grok",2
820,"Kvinne","45-54","Agder og Rogaland","Grunnskole/videregående",NA,NA,4,"Ja, noen ganger",1,0,3,NA,NA,"ChatGPT",3
821,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",3,"Ja, men sjelden",1,0,3,2,3,"ChatGPT",1
822,"Mann","25-34","Vestlandet","Universitet/høyskole 1-4 år",6,"Venstre",4,"Ja, men sjelden",1,0,3,4,3,"Gemini",2
823,"Mann","35-44","Agder og Rogaland","Grunnskole/videregående",NA,"Annet parti",2,"Ja, store deler av tiden",2,0,3,4,4,"Grok",3
824,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",2,"MDG",3,NA,3,1,4,5,4,"ChatGPT",NA
825,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",5,"Høyre",4,"Nei, aldri",5,1,4,4,3,"Forsker",3
826,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",3,"Nei, aldri",4,0,4,2,4,"Gemini",3
827,"Mann","35-44","Vestlandet","Universitet/høyskole 5+ år",7,"KrF",4,"Nei, aldri",2,1,4,4,3,"Grok",2
828,"Mann","55-64","Vestlandet","Grunnskole/videregående",5,"Senterpartiet",3,"Nei, aldri",2,1,4,4,1,"heiVG",1
829,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",1,"Ja, men sjelden",0,0,1,1,1,"Grok",2
830,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",4,"Nei, aldri",1,1,2,1,3,"heiVG",1
831,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",3,"Nei, aldri",5,1,4,4,3,"Gemini",2
832,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Senterpartiet",4,"Ja, noen ganger",0,0,2,2,4,"ChatGPT",3
833,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, noen ganger",1,0,2,2,1,"ChatGPT",3
834,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",3,"Ja, men sjelden",NA,NA,3,4,3,"heiVG",3
835,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",8,"Høyre",4,"Nei, aldri",0,0,4,4,3,"Forsker",4
836,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Venstre",3,NA,5,0,3,2,3,"heiVG",1
837,"Kvinne","65+","Vestlandet","Grunnskole/videregående",9,"Fremskrittspartiet",2,"Ja, men sjelden",3,0,2,4,2,"Forsker",2
838,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",5,NA,2,"Nei, aldri",0,0,2,1,1,"ChatGPT",1
839,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Nei, aldri",0,0,3,4,3,"Forsker",3
840,"Kvinne","55-64","Vestlandet","Grunnskole/videregående",8,"Arbeiderpartiet",3,"Nei, aldri",0,0,NA,1,1,"Grok",NA
841,"Kvinne","35-44","Vestlandet","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",3,"Ja, noen ganger",4,1,4,4,3,"ChatGPT",2
842,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",4,"Nei, aldri",4,1,4,4,NA,"Forsker",4
843,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, noen ganger",1,1,3,2,3,"Grok",2
844,"Mann","55-64","Trøndelag","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Ja, men sjelden",2,1,4,4,3,"Gemini",1
845,"Mann","55-64","Oslo og Akershus","Grunnskole/videregående",5,"Arbeiderpartiet",4,"Ja, men sjelden",3,1,4,3,4,"heiVG",3
846,"Mann","65+","Nord-Norge","Universitet/høyskole 1-4 år",7,"Høyre",3,"Nei, aldri",3,1,4,4,2,"heiVG",2
847,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",4,"Nei, aldri",4,1,3,2,3,"ChatGPT",2
848,"Kvinne","65+","Oslo og Akershus","Grunnskole/videregående",1,"MDG",4,"Ja, men sjelden",0,0,NA,1,3,"ChatGPT",1
849,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 1-4 år",5,NA,3,"Ja, noen ganger",0,0,3,2,3,"Forsker",2
850,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",4,NA,3,"Ja, noen ganger",3,1,4,1,4,"heiVG",4
851,"Mann","65+","Nord-Norge","Universitet/høyskole 1-4 år",8,"Høyre",3,"Nei, aldri",2,1,4,4,4,"ChatGPT",4
852,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",3,1,2,5,4,"Forsker",2
853,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 1-4 år",0,"Rødt",4,"Nei, aldri",3,0,3,NA,NA,"Forsker",NA
854,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",4,NA,4,"Ja, men sjelden",4,1,4,3,3,"Gemini",2
855,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",9,"Høyre",2,"Nei, aldri",1,1,3,2,2,"Gemini",1
856,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",4,1,3,1,4,"heiVG",1
857,"Kvinne","25-34","Trøndelag","Universitet/høyskole 5+ år",2,"SV",3,"Nei, aldri",1,0,2,2,2,"heiVG",NA
858,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Fremskrittspartiet",2,NA,2,0,NA,NA,NA,"ChatGPT",NA
859,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"KrF",3,"Ja, noen ganger",4,1,3,5,3,"Gemini",2
860,"Mann","35-44","Nord-Norge","Grunnskole/videregående",5,"KrF",2,"Nei, aldri",3,0,1,1,1,"heiVG",1
861,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",5,NA,3,"Nei, aldri",0,0,3,1,3,"heiVG",1
862,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",6,"KrF",2,"Nei, aldri",0,0,3,1,3,"ChatGPT",2
863,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",5,"Senterpartiet",4,"Ja, store deler av tiden",NA,NA,4,4,4,"Forsker",1
864,"Mann","45-54","Trøndelag","Universitet/høyskole 1-4 år",NA,NA,2,"Ja, store deler av tiden",3,0,4,1,2,"Gemini",2
865,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",1,NA,2,"Ja, store deler av tiden",3,1,1,1,1,"Grok",NA
866,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",0,"Annet parti",3,"Nei, aldri",1,1,2,2,1,"heiVG",2
867,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",1,"Rødt",1,"Ja, noen ganger",0,0,1,1,2,"Forsker",3
868,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",5,NA,3,"Ja, noen ganger",3,0,2,5,2,"ChatGPT",1
869,"Mann","55-64","Oslo og Akershus","Grunnskole/videregående",7,"Fremskrittspartiet",3,"Nei, aldri",4,0,4,5,3,"Grok",2
870,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",8,"KrF",3,"Nei, aldri",5,0,4,4,3,"heiVG",3
871,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",6,NA,3,"Nei, aldri",1,0,1,2,3,"heiVG",1
872,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Høyre",3,"Ja, noen ganger",3,1,4,2,3,"Gemini",1
873,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Ja, noen ganger",2,1,3,NA,NA,"Gemini",3
874,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Nei, aldri",4,1,4,4,NA,"Gemini",NA
875,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",5,NA,3,"Ja, noen ganger",5,1,4,3,3,"heiVG",3
876,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",5,"Fremskrittspartiet",4,"Ja, noen ganger",0,0,3,3,NA,"Grok",1
877,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",7,NA,3,"Nei, aldri",4,1,NA,5,4,"ChatGPT",3
878,"Kvinne","35-44","Vestlandet","Universitet/høyskole 1-4 år",7,"Høyre",4,"Ja, men sjelden",4,1,4,4,4,"Grok",2
879,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Ja, men sjelden",0,0,3,2,4,"heiVG",2
880,"Kvinne","25-34","Trøndelag","Grunnskole/videregående",2,"Rødt",3,"Nei, aldri",3,0,3,4,4,"Forsker",4
881,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",10,"Fremskrittspartiet",2,"Nei, aldri",4,1,4,3,3,"Forsker",3
882,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",3,"Rødt",3,"Nei, aldri",2,1,2,3,3,"ChatGPT",2
883,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",0,"Rødt",3,"Ja, men sjelden",1,1,4,2,3,"Gemini",NA
884,"Mann","45-54","Vestlandet","Universitet/høyskole 1-4 år",7,"Senterpartiet",1,"Ja, store deler av tiden",0,0,2,1,2,"Forsker",2
885,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",1,"MDG",4,"Nei, aldri",2,0,4,2,5,"Forsker",3
886,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",5,"MDG",4,"Nei, aldri",0,0,4,1,2,"Gemini",1
887,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Annet parti",2,"Ja, noen ganger",1,1,2,4,1,"Forsker",1
888,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",1,"MDG",4,"Nei, aldri",2,0,2,4,4,"heiVG",1
889,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",4,NA,3,"Nei, aldri",1,1,1,3,2,"Grok",1
890,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",4,"Nei, aldri",3,1,4,1,3,"Forsker",3
891,"Mann","25-34","Vestlandet","Grunnskole/videregående",NA,NA,2,"Ja, men sjelden",5,1,NA,5,3,"heiVG",3
892,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",1,"Rødt",4,"Ja, men sjelden",4,1,3,4,3,"Grok",2
893,"Mann","65+","Nord-Norge","Universitet/høyskole 5+ år",2,"Rødt",4,"Ja, store deler av tiden",1,0,3,4,4,"heiVG",3
894,"Kvinne","65+","Trøndelag","Grunnskole/videregående",5,NA,4,"Nei, aldri",3,1,5,5,4,"ChatGPT",4
895,"Kvinne","35-44","Trøndelag","Universitet/høyskole 1-4 år",1,"SV",3,"Ja, noen ganger",1,0,1,1,2,"ChatGPT",1
896,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",7,"Høyre",2,"Nei, aldri",5,1,5,5,3,"ChatGPT",3
897,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",0,"Rødt",3,"Ja, store deler av tiden",3,1,4,4,3,"Gemini",2
898,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, men sjelden",0,0,2,1,1,"Gemini",1
899,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",2,"Arbeiderpartiet",4,"Ja, noen ganger",5,1,3,1,5,"Forsker",1
900,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",3,"Ja, noen ganger",2,0,2,NA,2,"heiVG",2
901,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",8,NA,4,"Nei, aldri",3,1,4,5,4,"ChatGPT",NA
902,"Mann","65+","Nord-Norge","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Ja, noen ganger",3,1,4,4,3,"Forsker",3
903,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"MDG",4,"Nei, aldri",0,0,2,4,2,"Grok",2
904,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",10,NA,3,"Ja, noen ganger",2,0,2,5,3,"ChatGPT",NA
905,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"MDG",3,"Ja, noen ganger",0,0,4,2,3,"heiVG",1
906,"Mann","25-34","Sør-Østlandet","Grunnskole/videregående",10,"Høyre",2,"Ja, noen ganger",4,1,4,5,5,"heiVG",5
907,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, men sjelden",3,0,4,5,2,"Gemini",3
908,"Kvinne","25-34","Agder og Rogaland","Grunnskole/videregående",10,"Fremskrittspartiet",2,"Nei, aldri",3,1,3,NA,NA,"heiVG",NA
909,"Kvinne","45-54","Trøndelag","Grunnskole/videregående",NA,NA,3,"Ja, noen ganger",0,0,2,4,2,"ChatGPT",2
910,"Mann","45-54","Vestlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, men sjelden",3,1,3,2,4,"ChatGPT",3
911,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Høyre",1,"Nei, aldri",5,0,1,4,1,"heiVG",1
