"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
77,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",4,"Senterpartiet",3,"Ja, noen ganger",4,1,4,4,3,"Gemini",2
78,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"SV",4,"Nei, aldri",1,1,2,2,3,"Gemini",NA
79,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",7,"Høyre",4,"Nei, aldri",4,1,3,2,1,"heiVG",1
80,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",NA,NA,4,"Nei, aldri",0,0,NA,5,NA,"ChatGPT",1
81,"Mann","65+","Agder og Rogaland","Universitet/høyskole 5+ år",6,"KrF",3,"Ja, men sjelden",1,1,3,5,2,"Forsker",4
82,"Mann","45-54","Oslo og Akershus","Grunnskole/videregående",7,"Fremskrittspartiet",2,"Ja, men sjelden",2,1,4,4,4,"ChatGPT",4
83,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",3,"Arbeiderpartiet",3,"Ja, men sjelden",1,1,4,2,3,"Forsker",1
84,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Venstre",4,"Ja, men sjelden",5,0,2,3,3,"Grok",2
85,"Mann","55-64","Vestlandet","Grunnskole/videregående",5,NA,2,"Ja, store deler av tiden",0,0,3,1,1,"ChatGPT",1
86,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",5,NA,4,"Ja, men sjelden",1,0,2,2,2,"Grok",1
87,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Venstre",3,"Nei, aldri",5,1,5,5,4,"Gemini",3
88,"Kvinne","45-54","Vestlandet","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",2,"Ja, noen ganger",4,1,3,2,3,"ChatGPT",3
89,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",1,1,1,1,1,"ChatGPT",1
90,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Høyre",4,"Nei, aldri",0,0,1,1,3,"Gemini",1
91,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",4,"MDG",3,"Nei, aldri",2,1,NA,3,3,"heiVG",2
92,"Kvinne","65+","Nord-Norge","Universitet/høyskole 5+ år",2,"SV",3,"Ja, noen ganger",0,0,3,3,3,"heiVG",1
93,"Kvinne","18-24","Trøndelag","Universitet/høyskole 1-4 år",7,NA,3,"Ja, noen ganger",2,1,2,1,2,"Gemini",3
94,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",4,NA,4,"Nei, aldri",2,0,3,4,3,"Gemini",3
95,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Nei, aldri",3,1,3,4,4,"Grok",1
96,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",NA,NA,3,"Nei, aldri",0,0,NA,3,3,"Forsker",NA
97,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",5,"Høyre",3,"Ja, store deler av tiden",4,1,5,3,3,"heiVG",2
98,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",6,"Fremskrittspartiet",3,"Nei, aldri",NA,NA,3,4,3,"ChatGPT",3
99,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Nei, aldri",3,1,4,4,3,"Gemini",3
100,"Mann","35-44","Agder og Rogaland","Grunnskole/videregående",5,"Rødt",3,"Nei, aldri",3,1,4,4,1,"Grok",3
101,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",4,"Ja, noen ganger",3,1,4,2,4,"Grok",2
102,"Mann","65+","Trøndelag","Universitet/høyskole 5+ år",9,"Høyre",3,"Ja, men sjelden",3,1,4,4,3,"ChatGPT",3
103,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",5,1,4,5,3,"heiVG",2
104,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",9,"Høyre",3,"Nei, aldri",5,0,4,4,2,"Forsker",3
105,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Høyre",2,"Ja, noen ganger",5,1,4,4,2,"Forsker",NA
106,"Mann","65+","Nord-Norge","Grunnskole/videregående",3,"Arbeiderpartiet",4,"Ja, noen ganger",0,0,NA,5,3,"ChatGPT",3
107,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Ja, noen ganger",3,0,3,3,3,"ChatGPT",3
108,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",NA,NA,4,"Ja, noen ganger",0,0,3,4,3,"Gemini",1
109,"Kvinne","55-64","Agder og Rogaland","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",4,"Ja, noen ganger",2,1,4,1,3,"Grok",2
110,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",9,"Høyre",4,"Ja, noen ganger",5,1,4,4,4,"Grok",2
111,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",2,"Ja, store deler av tiden",2,0,2,2,2,"ChatGPT",1
